text,Title,Chapters
"One key goal of AGI research, in many though not all AGI research paradigms, is to build computer models of human intelligence; and thus, in many respects, AGI is not all that different from what is called cognitive modeling in cognitive science. Cassimatis shows the need for an intelligence science, as well as carefully selected challenge problems that must be solved by modeling the right data. The chapter by Selmer Bringsjord and John Licato addresses the question of how to dene and measure articial general intelligence, via proposing a psychometric paradigm in which AGI systems are evaluated using intelligence tests originally dened for humans. Since these tests have been dened to measure the g factor, which psychologists consider     Introduction 5 a measure of human general intelligence, in a sense this automatically places a focus on general rather than specialized intelligence.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"Though human-level intelligence is a critical milestone in the development of AGI, it may be that the most feasible route to get there is via climbing a ladder of intelligence involving explicitly nonhuman varieties of intelligence, as suggested in the chapter by Sam Adams and Steve Burbeck. The authors describe some interesting capabilities of octopi, comparing them to those of human beings, and argues more broadly that each of the rungs of the ladder of intelligence should be reached before trying a higher level. The chapter by Marcus Hutter represents another alternative to the human-level AGI objective, though this time (crudely speaking) from above rather than below. Hutters Universal Articial Intelligence is a formalization of ideal rational behavior that leads to optimum results in a certain type of environment. This project attempt to capture the essence of intelligence, rather than to duplicate the messy details of the human mind. Even though such an ideal design cannot be directly implemented, it can be approximated in various ways. 1.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"4 The Matter of Approach Just as important as having a clear objective for ones AGI research, is having a workable strategy and methodology for achieving ones goals. Here the difference between AGI and mainstream AI shows clearly: while conventional AI projects focus on domain-specic and problem-specic solutions (sometimes with the hope that they will be somehow eventually connected together to get a whole intelligence), an AGI project often starts with a blueprint of a whole system, attempting to capture intelligence as a whole. Such a blueprint is often called an architecture. The chapter by Itamar Arel proposes a very simple architecture, consisting of a perception module and an actuation module. After all, an AGI system should be able to take proper action in each perceived situation. Both modules use certain (different) types of learning algorithm, so that the system can learn to recognize patterns in various situations, as well as to acquire proper response to each situation.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"Unlike in mainstream AI, here the perception module and the actuation module are designed together; and the two are designed to work together in a manner driven by reinforcement learning. Some other researchers feel the need to introduce more modules into their architectures, following results from psychology and other disciplines. The model introduced in    16 Theoretical Foundations of Articial General Intelligence the chapter by Usef Faghihi and Stan Franklin turns certain existing theories about human cognition into a coherent design for a computer system, which has a list of desired properties. This architecture is more complicated than Arels, which can be both an advantage and a disadvantage. The chapter by Ben Goertzel et al. provides an integrative architecture diagram that summarizes several related cognitive architectures, and a defense of this approach to architectural and paradigmatic integration. It is argued that various AGI architectures, that seem different on the surface, are actually fundamentally conceptually compatible, and differ most dramatically in which parts of cognition they emphasize.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"Stress is laid on the hypothesis that the dynamics of an AGI system must possess cognitive synergy, that is, multiple processes interacting in such a way as to actively aid each other when solving problems. There are also researchers who do not want to design a xed architecture for the system, but stress the importance of letting an AGI system construct and modify its architecture by itself. The chapter by Kris Thrisson advocates a constructivist approach to AI, which does not depend on human designed architectures and programs, but on self-organizing architectures and self-generated code that grow from proper seeds provided by the designer. Just because a system has the ability for self-modication, does not necessarily mean that all the changes it makes will improve its performance. The chapter by Bas Steunebrink and Jrgen Schmidhuber introduces a formal model that reasons about its own programs, and only makes modications that can be proved to be benecial.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"Specied accurately in a symbolic language, this model is theoretically optimal under certain assumptions. 1.5 Challenges at the Heart of the Matter Though AGI differs from mainstream AI in its holistic attitude toward intelligence, the design and development of an AGI system still needs to be carried out step by step, and some of the topics involved are considered to be more important and crucial than the others. Each chapter in this cluster addresses an issue that the author(s) takes to be one, though by no means the only one, major challenge in their research toward AGI. The chapter by Tsvi Achler considers recognition as the foundation of other processes that altogether form intelligence. To meet the general-purpose requirements of AGI, a more exible recognition mechanism is introduced.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"While the majority of current recognition al   1Introduction 7 gorithms are based on a feedforward transformation from an input image to a recognized pattern, the mechanism Achler describes has a bidirectional feedforward-feedback structure, where the systems expectation plays an important role. Creativity is an aspect where computers are still far behind human intelligence. The chapter by Maricarmen Martinez et al. proposes analogy making and theory blending as ways to create new ideas. In this process, problem-solving theories are generalized from a source domain, then applied in a different target domain to solve novel problems. There is evidence showing that such processes indeed happen in human cognition, and are responsible for much of the creativity and generality of intelligence. Contrary to many peoples assumption that intelligence is cold and unemotional, Joscha Bach argues that a model of intelligence must cover emotion and affect, since these play important roles in motivational dynamics and other processes.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"Emotion emerges via the systems appraisal of situations and objects, with respect to the systems needs and desires; and it in turn inuences the systems responses to those situations and objects, as well as its motivations and resource allocation. Consciousness is one of the most mysterious phenomena associated with the human mind. The chapter by Antonio Chella and Riccardo Manzotti concludes that consciousness is necessary for general intelligence, and provides a survey of the existing attempts at producing similar phenomena in computer and robot systems. This study attempts to give some philosophical notions (including consciousness, free will, and experience) functional and constructive interpretations. The difculty of the problem of consciousness partly comes from the fact that it is not only a technical issue, but also a conceptual one. The chapter by Richard Loosemore provides a conceptual analysis of the notion of consciousness, helping us to understand what kind of answer might qualify as a solution to the problem.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"Such a meta-level reection is necessary because if we get the problem wrong, there is little chance to get the solution right. 1.6 Summary This book is not an attempt to settle all the fundamental problems of AGI, but merely to showcase and comprehensibly overview some of the key current theoretical explorations in the eld. Given its stress on the generality and holistic nature of intelligence, AGI arguably has a greater demand for coherent theoretical foundations than narrow AI; and yet, the task      8 Theoretical Foundations of Articial General Intelligence of formulating appropriate theories is harder for AGI than for narrow AI, due to the wider variety of interdependent factors involved. The last chapter by Pei Wang is an attempt to provide common criteria for the analysis, comparison, and evaluation of the competing AGI theories.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"It is proposed that, due to the nature of the eld, a proper theory of intelligence for AGI should be correct according to our knowledge about human intelligence, concrete on how to build intelligent machines, and compact in its theoretical structure and content. Furthermore, these criteria should be balanced against each other. This collection of writings of representative, leading AGI researchers shows that there is still no eld-wide consensus on the accurate specication of the objective and methodology of AGI research. Instead, the eld is more or less held together by a shared attitude toward AI research, which treats the problem of AI as one problem, rather than as a group of loosely related problems, as in mainstream AI. Furthermore, AGI researchers believe that it is possible to directly attack the problem of general intelligence now, rather than to postpone it to a unspecied future time.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"The problems discussed in this book are not the same as those addressed by the traditional AI literatures or in AIs various sibling disciplines. As we have argued previously [11], general-propose AI has its own set of problems, which is neither a subset, nor a superset, of the problems studied in mainstream AI (the latter being exemplied in [8], e.g.). Among the problems of AGI, many are theoretical in nature, and must be solved by theoretical analysis  which in turn, must often be inspired and informed by experimental and engineering work. We hope this book will attract more attention, from both inside and outside the AGI eld, toward the theoretical issues of the eld, so as to accelerate the progress of AGI research  a matter which has tremendous importance, both intellectually and practically, to present-day human beings and our human and articial successors. Bibliography [1] Brachman, R. J. (2006).",Theoretical Foundations of Artificial General Intelligence,chapter 1
"(AA)AI  more than the sum of its parts, 2005 AAAI Presidential Address, AI Magazine 27, 4, pp. 1934. [2] Feigenbaum, E. A. and Feldman, J. (1963). Computers and Thought (McGraw-Hill, New York). [3] Feigenbaum, E. A. and McCorduck, P. (1983). The Fifth Generation: Articial Intelligence and Japans Computer Challenge to the world (Addison-Wesley Publishing Company, Reading, Massachusetts). [4] Goertzel, B. and Pennachin, C. (eds.) (2007). Articial General Intelligence (Springer, New York). [5] McCarthy, J. (2007). From here to human-level AI, Articial Intelligence 171, pp. 11741182.      Bibliography 9 [6] McCarthy, J.",Theoretical Foundations of Artificial General Intelligence,chapter 1
"Minsky, M., Rochester, N. and Shannon, C. (1955). A Proposal for the Dartmouth Summer Research Project on Articial Intelligence, URL: http://www-formal.stanford.edu/jmc/history/dartmouth.html. [7] Newell, A. and Simon, H. A. (1963). GPS, a program that simulates human thought, in E. A. Feigenbaum and J. Feldman (eds.), Computers and Thought (McGraw-Hill, New York), pp. 279293. [8] Russell, S. and Norvig, P. (2010). Articial Intelligence: A Modern Approach, 3rd edn. (Prentice Hall, Upper Saddle River, New Jersey). [9] Turing, A. M. (1950). Computing machinery and intelligence, Mind LIX, pp. 433460. [10] Wang, P. (2008).",Theoretical Foundations of Artificial General Intelligence,chapter 1
"What do you mean by AI, in Proceedings of the First Conference on Articial General Intelligence, pp. 362373. [11] Wang, P. and Goertzel, B. (2007). Introduction: Aspects of articial general intelligence, in B. Goertzel and P. Wang (eds.), Advance of Articial General Intelligence (IOS Press, Amsterdam), pp. 116.   ",Theoretical Foundations of Artificial General Intelligence,chapter 1
"  Chapter 2 Articial Intelligence and Cognitive Modeling Have the Same Problem Nicholas L. Cassimatis Department of Cognitive Science, Rensselaer Polytechnic Institute, 108 Carnegie, 110 8th St. Troy, NY 12180 cassin@rpi.edu Cognitive modelers attempting to explain human intelligence share a puzzle with articial intelligence researchers aiming to create computers that exhibit human-level intelligence: how can a system composed of relatively unintelligent parts (such as neurons or transistors) behave intelligently? I argue that although cognitive science has made signicant progress towards many of its goals, that solving the puzzle of intelligence requires special standards and methods in addition to those already employed in cognitive science. To promote such research, I suggest creating a subeld within cognitive science called intelligence science and propose some guidelines for research addressing the intelligence puzzle. 2.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"1 The Intelligence Problem Cognitive scientists attempting to fully understand human cognition share a puzzle with articial intelligence researchers aiming to create computers that exhibit human-level intelligence: how can a system composed of relatively unintelligent parts (say, neurons or transistors) behave intelligently? 2.1.1 Naming the problem I will call the problem of understanding how unintelligent components can combine to generate human-level intelligence the intelligence problem; the endeavor to understand how the human brain embodies a solution to this problem understanding human intelligence; and the project of making computers with human-level intelligence human-level articial intelligence. 11      12 Theoretical Foundations of Articial General Intelligence When I say that a system exhibits human-level intelligence, I mean that it can deal with the same set of situations that a human can with the same level of competence. For example, I will say a system is a human-level conversationalist to the extent that it can have the same kinds of conversations as a typical human.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"A caveat to this is that articial intelligence systems may not be able to perform in some situations, not for reasons of their programming, but because of issues related to their physical manifestation. For example, it would be difcult for a machine without hand gestures and facial expressions to converse as well as a human in many situations because hand gestures and facial expressions are so important to many conversations. In the long term, it may be necessary therefore to sort out exactly which situations matter and which do not. However, the current abilities of articial systems are so far away from human-level that resolving this issue can generally be postponed for some time. One point that does follow from these reections, though, is the inadequacy of the Turing Test. Just as the invention of the airplane was an advance in articial ight without convincing a single person that it was a bird, it is often irrelevant whether a major step-step towards human-intelligence cons observers into believing a computer is a human.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"2.1.2 Why the Intelligence Problem is Important Why is the human-level intelligence problem important to cognitive science? The theoretical interest is that human intelligence poses a problem for a naturalistic worldview insofar as our best theories about the laws governing the behavior of the physical world posit processes that do not include creative problems solving, purposeful behavior and other features of human-level cognition. Therefore, not understanding how the relatively simple and unintelligent mechanisms of atoms and molecules combine to create intelligent behavior is a major challenge for a naturalistic world view (upon which much cognitive science is based). Perhaps it is the last major challenge. Surmounting the human-level intelligence problem also has enormous technological benets which are obvious enough. 2.1.3 The State of the Science For these reasons, understanding how the human brain embodies a solution to the human-level intelligence problem is an important goal of cognitive science. At least at rst glance, we are quite far from achieving this goal.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"There are no cognitive models that can, for example, fully understand language or solve problems that are simple for a young child. This paper evaluates the promise of applying existing methods and standards in      Articial Intelligence and Cognitive Modeling Have the Same Problem 13 cognitive science to solve this problem and ultimately proposes establishing a new subeld within cognitive science, called Intelligence Science1, and outlines some guiding principles for that eld. Before discussing how effective the methods and standards of cognitive science are in solving the intelligence problem, it is helpful to list some of the problems or questions intelligence science must answer. The elements of this list are not original (see (Cassimatis, 2010) and (Shanahan, 1997)) or exhaustive.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"They are merely illustrative examples: Qualication problem How does the mind retrieve or infer in so short a time the exceptions to its knowledge? For example, a hill symbol on a map means there is a hill in the corresponding location in the real world except if: the mapmaker was deceptive, the hill was leveled during real estate development after the map was made, or the map is of shifting sand dunes. Even the exceptions have exceptions. The sand dunes could be part of a historical site and be carefully preserved or the map could be based on constantly updated satellite images. In these exceptions to the exceptions, a hill symbol does mean there is a hill there now. It is impossible to have foreseen or been taught all these exceptions in advance, yet we recognize them as exceptions almost instantly.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"Relevance problem Of the enormous amount of knowledge people have, how do they manage to retrieve the relevant aspects of it, often in less than a second, to sort from many of the possible interpretations of a verbal utterance or perceived set of events? Integration problem How does the mind solve problems that require, say, probabilistic, memory-based and logical inferences when the best current models of each form of inference are based on such different computational methods? Is it merely a matter of time before cognitive science as it is currently practiced answers questions like these or will it require new methods and standards to achieve the intelligence problem? 2.2 Existing Methods and Standards are not Sufcient Historically, AI and cognitive science were driven in part by the goal of understanding and engineering human-level intelligence. There are many goals in cognitive science and, although momentous for several reasons, human-level intelligence is just one of them.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"Some other goals are to generate models or theories that predict and explain empirical data, 11Obviously, for lack of a better name.      14 Theoretical Foundations of Articial General Intelligence to develop formal theories to predict human grammatically judgments and to associate certain kinds of cognitive processes with brain regions. Methods used today in cognitive science are very successful at achieving these goals and show every indication of continuing to do so. In this paper, I argue that these methods are not adequate to the task of understanding human-level intelligence. Put another way, it is possible to do good research by the current standards and goals of cognitive science and still not make much progress towards understanding human intelligence. Just to underline the point, the goal of this paper is not to argue that cognitive science is on the wrong track, but that despite great overall success on many of its goals, progress towards one of its goals, understanding human-level intelligence, requires methodological innovation. 2.2.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"1 Formal linguistics The goal of many formal grammarians is to create a formal theory that predicts whether a given set of sentences is judged by people to be grammatical or not. Within this framework, whether elements of the theory correspond to a mechanism humans use to understand language is generally not a major issue. For example, at various times during the development of Chomsky and his students formal syntax, their grammar generated enormous numbers of syntactic trees and relied on grammatical principles to rule out ungrammatical trees. These researchers never considered it very relevant to criticize their framework by arguing that it was implausible to suppose that humans could generate and sort through this many trees in the second or two it takes them to understand most sentences. That was the province of what they call performance (the mechanisms the mind uses) not competence (what the mind, in some sense, knows, independent of how it uses this knowledge).",Theoretical Foundations of Artificial General Intelligence,chapter 2
"It is possible therefore to do great linguistics without addressing the computational problems (e.g. the relevance problem from the last section) involved in human-level language use. 2.2.2 Neuroscience The eld of neuroscience is so vast that it is difcult to even pretend to discuss it in total. I will conne my remarks to the two most relevant subelds of neuroscience. First, cognitive neuroscience is probably the subeld that most closely addresses mechanisms relevant to understanding human intelligence. What often counts as a result in this eld is a demonstration that certain regions of the brain are active during certain forms of cognition.      Articial Intelligence and Cognitive Modeling Have the Same Problem 15 A simplistic, but not wholly inaccurate way of describing how this methodology would apply to understanding intelligence would be to say that the eld is more concerned with what parts of the brain embody a solution to the intelligence problem, not how they actually solve the problem.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"It is thus possible to be a highly successful cognitive neuroscientist without making progress towards solving the intelligence problem. Computational neuroscience is concerned with explaining complex computation in terms of the interaction of less complex parts (i.e., neurons) obviously relevant to this discussion. Much of what I say about cognitive modeling below also applies to computational neuroscience. 2.2.3 Articial intelligence An important aim of this paper is that cognitive sciences attempt to solve the intelligence problem is also an AI project and in later sections I will describe how this has and can still help cognitive science. There are, however, some ways AI practice can distract from that aim, too. Much AI research has been driven in part by at least one of these two goals. (1) A formal or empirical demonstration that an algorithm is consistent with, approximates, or converges on some normative standard.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"Examples include proving that a Bayes network belief propagation algorithm converges on a probability distribution dictated by probability theory or proving that a theorem prover is sound and complete with respect to a semantics for some logic. Although there are many theoretical and practical reasons for seeking these results (I would like nuclear power plant software to be correct as much as anyone), they do not necessarily constitute progress towards solving the intelligence problem. For example, establishing that a Bayes Network belief propagation algorithm converges relatively quickly towards a normatively correct probability distribution given observed states of the world does not in any way indicate that solving such problems is part of human-level intelligence, nor is there any professional incentive or standard requiring researchers to argue for this. There is in fact extensive evidence that humans are not normatively correct reasoners. It may even be that some aws in human reasoning are a tradeoff required of any computational system that solves the problems humans do.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"(2) Demonstrating with respect to some metric that an algorithm or system is faster, consumes fewer resources and/or is more accurate than some alternative(s). As with proving theorems, one can derive great professional mileage creating a more accurate part of speech      16 Theoretical Foundations of Articial General Intelligence tagger or faster STRIPS planner without needing to demonstrate in any way that their solution is consistent with or contributes to the goal of achieving human-level intelligence. 2.2.4 Experimental psychology Cognitive psychologists generally develop theories about how some cognitive process operates and run experiments to conrm these theories. There is nothing specically in this methodology that focuses the eld on solving the intelligence problem. The elds standards mainly regard the accuracy and precision of theories, not the level of intelligence they help explain.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"A set of experiments discovering and explaining a surprising new phenomenon in (mammalian-level) place memory in humans will typically receive more plaudits than another humdrum experiment in high-level human reasoning. To the extent that the goal of the eld is solely to nd accurate theories of cognitive processes, this makes sense. But it also illustrates the lack of an impetuous towards understanding human-level intelligence. In addition to this point, many of Newells (Newell, 1973) themes apply to the project of understanding human-level intelligence with experimental psychology alone and will not be repeated here. A subeld of cognitive psychology, cognitive modeling, does, at its best, avoid many of the mistakes Newell cautions against and I believe understanding human cognition is ultimately a cognitive modeling problem. I will therefore address cognitive modeling extensively in the rest of this paper. 2.3 Cognitive Modeling: The Model Fit Imperative Cognitive modeling is indispensable to the project of understanding human-level intelligence.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"Ultimately, you cannot say for sure that you have understood how the human brain embodies a solution to the intelligence problem unless you have (1) a computational model that behaves as intelligently as a human and (2) some way of knowing that the mechanisms of that model, or at least its behavior, reect what is going on in humans. Creating computer models to behave like humans and showing that the models mechanisms at some level correspond to mechanism underlying human cognition is a big part of what most cognitive modelers aim to do today. Understanding how the human brain embodies a solution to the intelligence problem is thus in part a cognitive modeling problem. This section describes why I think some of the practices and standards of the cognitive modeling community, while being well-suited for understanding many aspects of cognition,      Articial Intelligence and Cognitive Modeling Have the Same Problem 17 are not sufcient to, and sometimes even impede progress towards, understanding humanlevel intelligence.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"The main approach to modeling today is to create a model of human cognition in a task that ts existing data regarding their behavior in that task and, ideally, predicts behavior in other versions of the task or other tasks altogether. When a single model with a few parameters predicts behavior in many variations of a task or in many different tasks, that is good evidence that the mechanisms posited by the model correspond, at least approximately, to actual mechanisms of human cognition. I will call the drive to do this kind of work the model t imperative. What this approach does not guarantee is that the mechanisms uncovered are important to understanding human-level intelligence. Nor does it do impel researchers to nd important problems or mechanisms that have not yet been addressed, but which are key to understanding human-level intelligence. An analogy with understanding and synthesizing ight will illustrate these points2.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"Let us call the project of understanding birds aviary science; the project of creating computational models of birds aviary modeling and the project of making machines that y articial ight. We call the problem of how a system that is composed of parts that individually succumb to gravity can combine to defy gravity the ight problem; and we call the project of understanding how birds embody a solution to this problem understanding bird ight. You can clearly do great aviary science, i.e., work that advances the understanding of birds, without addressing the ight problem. You can create predictive models of bird mating patterns that can tell you something about how birds are constructed, but they will tell you nothing about how birds manage to y. You can create models that predict the apping rate of a birds wings and how that varies with the birds velocity, its mass, etc. While this work studies something related to bird ight, it does not give you any idea of how birds actually manage to y.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"Thus, just because aviary science and aviary modeling are good at understanding many aspects of birds, it does not mean they are anywhere near understanding bird ight. If the only standard of their eld is to develop predictive models of bird behavior, they can operate with great success without ever understanding how birds solve the ight problem and manage to y. I suggest that the model t imperative in cognitive modeling alone is about as likely to lead to an understanding of human intelligence as it would be likely to drive aviary science towards understanding how birds y. It is possible to collect data about human cognition, 2I have been told that David Marr has also made an analogy between cognitive science and aeronautics, but I have been unable to nd the reference.      18 Theoretical Foundations of Articial General Intelligence build ne models that t the data and accurately predict new observations  it is possible to do all this without actually helping to understand human intelligence.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"Two examples of what I consider the best cognitive modeling I know of illustrate this point. (Lewis & Vasishth, 2005) have developed a great model of some mechanisms involved in sentence understanding, but this and a dozen more ne pieces of cognitive modeling could be done and we would still not have a much better idea of how people actually mange to solve all of the inferential problems in having a conversation, how they sort from among all the various interpretations of a sentence, how they manage to ll in information not literally appearing in a sentence to understand the speakers intent. Likewise, Andersons (Anderson, 2005) work modeling brain activity during algebraic problem solving is a big advance in conrming that specic mechanisms in ACT-R models of cognition actually reect real, identiable, brain mechanisms.",Theoretical Foundations of Artificial General Intelligence,chapter 2
"But, as Anderson himself claimed3, these models only shed light on behavior where there is a preordained set of steps to take, not where people actually have to intelligently gure out a solution to the problem on their own. The point of these examples is not that they are failures. These projects are great successes. They actually achieved the goals of the researchers involved and the cognitive modeling community. That they did so without greatly advancing the project of understanding human intelligence is the point. The model t imperative is geared towards understanding cognition, but not specically towards making sure that human-level intelligence is part of the cognition we understand. To put the matter more concretely, there is nothing about the model t imperative that forces, say, someone making a cognitive model of memory to gure out how their model explains how humans solve the qualication and relevance problems.",Theoretical Foundations of Artificial General Intelligence,chapter 2
